1;2,1
2;2,1
3;2,1
4;2,1
5;2,1
6;2,1
7;2,1
8;2,1
9;2,1
10;2,1
11;2,1
12;2,1
13;2,1
14;2,1
15;2,1
16;2,1
17;2,1
18;2,1
19;2,1
20;2,1
21;2,1
22;2,1
23;2,1
24;2,1
25;2,1
26;2,1
27;2,1
28;2,1
29;2,1
30;2,1
31;2,1
32;2,1
33;2,1
34;2,3
35;2,1
36;2
37;2
38;2
39;2,1
40;2,1
41;2,4
42;2,1,3
43;2,1
44;2,1
45;2,1
46;2,1
47;2,1
48;2,1
49;2
50;2,1
51;2,1
52;6
53;2,1
54;2,1
55;2,1
56;7,7
57;8,7
58;2,1
59;2,1
60;2,1
61;2,10
62;2,1
63;2,1
64;2,1
65;2,1
66;2,1
67;11
68;12,12
69;11
70;11
71;2
72;11
73;2
74;11
75;13
76;11
77;2
78;11
79;2
80;11
81;11
82;11
83;11
84;11
85;10,10
86;11
87;2,10
88;2,10
89;12,12
90;11
91;11
92;11
93;15
94;2,10
95;2,10
96;16,16
97;11
98;11
99;2
100;2
101;17
102;19,18
103;20
104;21
105;2,10
106;11
107;12,12
108;2,10
109;2
110;11
111;2
112;22
113;11
114;22
115;11
116;11
117;2
118;11
119;2
120;23,23
121;23,23
122;2,23
123;2,23
124;11
125;2,23
126;2
127;11
128;11
129;11
130;2
131;11
132;11
133;11
134;11
135;2
136;11
137;11,27
138;11
139;2
140;11
141;11
142;2
143;11
144;11
145;2
146;11
147;11
148;11
149;2
150;11
151;11
152;2
153;11
154;11
155;11
156;2
157;11
158;2
159;2
160;11
161;2
162;11
163;11
164;11
165;2
166;11
167;11
168;2
169;11
170;2
171;11
172;24,24
173;11
174;2,23
175;11
176;2
177;11
178;11
179;25
180;2
181;11
182;11
183;2
184;2
185;11
186;11
187;2
188;11
189;11
190;25
191;25,27
192;25
193;11
194;11
195;11
196;25
197;2
198;11
199;2,23
200;23,23
201;11
202;2
203;26
204;11
205;25
206;25
207;2
208;25
209;11
210;25
211;11
212;2
213;25
214;25
215;2
216;25
217;2,23
218;11
219;2,27
220;11
221;2
222;11
223;23,23
224;11
225;11
226;2
227;11
228;2
229;11
230;11
231;2
232;26
233;11
234;11
235;2
236;11
237;2
238;26
239;22
240;11
241;2
242;2
243;11
244;11
245;11
246;28
247;2
248;27
249;11
250;11
251;2
252;2
253;2
254;11
255;11
256;22
257;2
258;2
259;11
260;11
261;11
262;2
263;2
264;11
265;22
266;22
267;2
268;2,29
269;11
270;11
271;2
272;11
273;2
274;11
275;2
276;2
277;11
278;11
279;11
280;2,29
281;2
282;2
283;26
284;26
285;2
286;11
287;2
288;2
289;11
290;11
291;30
292;26
293;11
294;2
295;11
296;11
297;2
298;26
299;11
300;26
301;2
302;11
303;26
304;11
305;2
306;2
307;2
308;11
309;26
310;11
311;2
312;11
313;26
314;2
315;2
316;26
317;11
318;23,23
319;2,23
320;2
321;11
322;2
323;11
324;2
325;2,31
326;11
327;11
328;2
329;11
330;11
331;2
332;11
333;11
334;11
335;26
336;22
337;2
338;2
339;11
340;2
341;11
342;11
343;11
344;26
345;22
346;11
347;2
348;26
349;32,32
350;11
351;2
352;11
353;11
354;2
355;11
356;11
357;11
358;2
359;2
360;2
361;2
362;11
363;2
364;11
365;2
366;26
367;26
368;11
369;26
370;26
371;26
372;26
373;2,10
374;2,10
375;26
376;26
377;26
378;26
379;26
380;2
381;11
382;26
383;2
384;11
385;2,34
386;11
387;26
388;26
389;2
390;11
391;26
392;2
393;2,29
394;11
395;2
396;26
397;11
398;26
399;2
400;26
401;26
402;35
403;36
404;26
405;26
406;2
407;26
408;11
409;26
410;2
411;26
412;26
413;26
414;26
415;2
416;32,32
417;26
418;11
419;11
420;26
421;26,2
422;26,2
423;26,2
424;26,2
425;26,2
426;2,2
427;26,2
428;2,2
429;26,2
430;26,2
431;2,2
432;26,2
433;26,2
434;2,2
435;22,2
436;2,2
437;36,2
438;26,2
439;11,2
440;2,2
441;2,2
442;2,2
443;26,2
444;11,2
445;2,2
446;11,2
447;2,2
448;36,2
449;38,29,37,39
450;26,2
451;11,2
452;35,2
453;2,2
454;39,2,39
455;26,2
456;2,2
457;26,29,37
458;26,2
459;11,2
460;11,2
461;11,2
462;2,2
463;26,2
464;26,2
465;2,2
466;22,2
467;22,2
468;2,2
469;22,2
470;2,2
471;11,2
472;2,2
473;11,2
474;2,2
475;22,2
476;2,2
477;22,2
478;22,2
479;22,2
480;22,2
481;22,2
482;22,2
483;22,2
484;39,2,39
485;40,2,40
486;22,2
487;22,2
488;22,2
489;22,2
490;22,2
491;22,2
492;22,2,46
493;22,2
494;39,2,39
495;22,2
496;22,2
497;2,2
498;22,29,37
499;22,2
500;22,2
501;41,2
502;35,2
503;41,2
504;41,2
505;41,2
506;2,2,42
507;2,2,42
508;22,2
509;22,2
510;22,2
511;22,2
512;22,2
513;41,2
514;22,2
515;2,2
516;2,2
517;22,2
518;22,2
519;22,2
520;2,29
521;2,29
522;2,29
523;2,2
524;2,2,42
525;2,2,42
526;41,2
527;2,29
528;2,29
529;2,29
530;2,2,44
531;2,2
532;2,29
533;2,29
534;2,2
535;22,2
536;2,2,23,45
537;2,2
538;22,2
539;2,2,45
540;22,2
541;2,2
542;2,2
543;2,2
544;22,2
545;22,2
546;22,2
547;22,2
548;22,2
549;22,2
550;22,2
551;22,2
552;2,2,44
553;45,2,45
554;2,2
555;2,2,44
556;2,2,44
557;2,2,44
558;2,2
559;2,2,44
560;2,2
561;2,2,44
562;2,2,44
563;2,2,44
564;2,2,44
565;2,2,44
566;2,2
567;22,2
568;2,2,44
569;2,2,44
570;2,2
571;2,2,44
572;2,2,44
573;2,2,44
574;2,2,44
575;2,2,47
576;2,2
577;2,29
578;2,2
579;48,2,48
580;2,2,44
581;22,2
582;2,2,44
583;2,2,47
584;2,2,44
585;2,2,44
586;41,2
587;2,2,49
588;22,2
589;2,2,44
590;45,2,45
591;2,2,44
592;2,2
593;50,2,50,64
594;2,2,44
595;2,2,50
596;2,2,44
597;2,2,44
598;2,2,44
599;2,2,44
600;2,2,44
601;2,2,44
602;2,2,44
603;2,2,44
604;2,2,44
605;2,2
606;2,2,44
607;2,2,44
608;2,2,44
609;2,2,44
610;2,2,44
611;2,2,44
612;2,2,44,51
613;2,2,50
614;2,2,44,51
615;2,2,49,64
616;52,2
617;2,2,49
618;2,2,44
619;53,2,53
620;2,2,44
621;2,2,44
622;2,2
623;2,2,44
624;2,2,44
625;2,2
626;54,2
627;2,2,44
628;2,2
629;2,2
630;2,2,44
631;2,2,44
632;2,2,44
633;2,2
634;2,2,44
635;2,2
636;2,2,44
637;2,2,44
638;2,2,44
639;52,2
640;2,2
641;2,2
642;2,2,44
